Date,Home Team,Visit Team,Home Close OU,Total Runs,Over,Visit AVG 1,Visit AVG 2,Visit AVG 3,Visit AVG 4,Visit AVG 5,Visit AVG 6,Visit AVG 7,Visit AVG 8,Visit AVG 9,Visit ERA,Home AVG 1,Home AVG 2,Home AVG 3,Home AVG 4,Home AVG 5,Home AVG 6,Home AVG 7,Home AVG 8,Home AVG 9,Home ERA
406,ARI,SDG,9.5,9,0,0.0,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0,4.5,0.25,0.5,0.5,0.0,0.5,0.667,0.0,0.0,0.0,1.29
406,MIL,COL,9.0,12,1,0.8,0.0,0.4,0.25,0.33299999999999996,0.0,0.33299999999999996,0.0,0.0,1.5,0.33299999999999996,0.8,0.5,0.4,0.25,0.5,0.0,0.0,0.0,3.86
406,HOU,SFO,8.0,3,0,0.0,0.667,0.25,0.25,0.33299999999999996,0.5,0.25,0.667,0.0,0.0,0.25,0.5,0.0,0.5,0.25,0.25,0.25,0.25,0.0,4.5
406,LAA,MIN,10.0,8,0,0.0,0.33299999999999996,0.25,0.33299999999999996,0.33299999999999996,0.0,0.5,0.25,0.0,7.71,0.667,0.0,0.0,0.5,0.5,0.25,0.25,0.0,0.25,4.5
406,OAK,SEA,8.5,2,0,0.25,0.0,0.5,0.0,0.33299999999999996,0.0,0.25,0.5,0.0,4.05,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.667,3.6
406,BOS,NYY,9.5,10,1,0.4,0.0,0.0,0.2,0.4,0.75,0.25,0.33299999999999996,0.5,8.44,0.0,0.5,0.2,0.75,0.0,0.33299999999999996,0.25,0.667,0.667,9.64
407,BOS,NYY,10.0,4,0,0.3,0.0,0.0,0.2,0.5,0.5,0.429,0.0,0.25,5.4,0.2,0.33299999999999996,0.375,0.5710000000000001,0.0,0.429,0.125,0.33299999999999996,0.429,7.2
407,ARI,SDG,9.5,8,0,0.125,0.0,0.444,0.125,0.444,0.14300000000000002,0.16699999999999998,0.429,0.0,0.0,0.25,0.222,0.5,0.0,0.2,0.5710000000000001,0.125,0.0,0.0,5.4
407,CIN,STL,8.0,9,1,0.0,0.25,0.8,0.25,0.5,0.25,0.5,0.25,0.0,3.0,0.2,0.0,0.6,0.25,0.2,0.25,0.5,0.0,0.0,5.4
407,CWS,CLE,8.0,8,1,0.25,0.0,0.0,0.25,0.0,0.0,0.33299999999999996,0.0,0.33299999999999996,11.25,0.0,0.5,0.5,0.5,0.0,0.33299999999999996,0.25,0.0,0.0,0.0
