Date,Home Team,Visit Team,Home Final_x,Visit Final_x,Total Runs,Home Close OU,Over,Visit Home Score Average,Visit Home ERA,Visit Visit Score Average,Visit Visit ERA,Visit OPS 1,Visit OPS 2,Visit OPS 3,Visit OPS 4,Visit OPS 5,Visit OPS 6,Visit OPS 7,Visit OPS 8,Visit OPS 9,Visit Pitcher ERA,Home Final_y,Visit Final_y,Home Home Score Average,Home Home ERA,Home Visit Score Average,Home Visit ERA,Home OPS 1,Home OPS 2,Home OPS 3,Home OPS 4,Home OPS 5,Home OPS 6,Home OPS 7,Home OPS 8,Home OPS 9,Home Pitcher ERA
413,CIN,STL,3,5,8,9.5,0,3.4,6.8,6.0,4.142857142857143,0.582,0.84,0.684,0.724,1.056,0.822,0.878,.415,.500,1.59,3,5,3.4,6.8,6.0,4.142857142857143,.480,0.643,0.585,0.707,0.267,.445,0.473,0.688,.667,4.22
413,LAD,ARI,7,8,15,6.5,1,4.0,3.0,3.8333333333333335,2.6666666666666665,0.909,0.716,0.799,0.696,0.813,0.519,0.83,0.539,0.333,5.06,7,8,4.0,3.0,3.8333333333333335,2.6666666666666665,0.553,0.584,0.96,0.668,1.069,0.5,0.508,0.651,0.0,0.0
413,CLE,TOR,4,8,12,8.5,1,3.4285714285714284,1.2857142857142858,4.666666666666667,3.5,0.995,,0.897,0.999,0.652,0.758,0.758,.319,.249,8.38,4,8,3.4285714285714284,1.2857142857142858,4.666666666666667,3.5,0.597,0.456,0.639,0.635,0.596,0.685,0.651,0.623,0.606,0.71
413,HOU,TEX,3,2,5,8.5,0,4.166666666666667,2.3333333333333335,3.25,3.25,0.83,0.563,0.746,0.779,0.619,,0.384,0.631,0.0,5.06,3,2,4.166666666666667,2.3333333333333335,3.25,3.25,.567,0.74,0.785,0.901,,.668,0.631,0.727,.563,0.64
413,SEA,OAK,7,4,11,8.0,1,4.0,3.6666666666666665,6.6,6.4,0.829,0.715,0.945,0.762,0.803,1.071,0.676,.503,0.229,2.53,7,4,4.0,3.6666666666666665,6.6,6.4,.783,0.854,1.068,0.903,.683,.569,0.474,0.455,0.0,3.0
413,BOS,BAL,7,3,10,9.5,1,8.0,4.333333333333333,4.571428571428571,5.571428571428571,0.683,0.967,0.583,0.658,0.678,0.445,0.577,0.5,0.34,8.68,7,3,8.0,4.333333333333333,4.571428571428571,5.571428571428571,1.085,0.733,0.602,0.725,.715,.714,0.607,0.592,.500,7.36
413,NYM,MIL,6,5,11,8.5,1,4.4,2.6,4.666666666666667,3.5,0.755,0.684,0.551,0.732,0.917,0.374,0.422,.543,0.0,5.4,6,5,4.4,2.6,4.666666666666667,3.5,1.089,0.988,0.675,0.791,.851,.708,0.649,,.000,3.0
413,WAS,COL,1,2,3,8.5,0,2.7142857142857144,4.0,4.5,4.25,1.071,0.638,0.886,0.698,0.914,0.65,0.692,0.259,0.667,5.56,1,2,2.7142857142857144,4.0,4.5,4.25,.582,0.722,1.181,0.417,.936,.404,0.829,0.935,0.0,4.5
413,KAN,LAA,4,5,9,10.0,0,4.333333333333333,6.166666666666667,6.875,2.625,0.778,0.988,0.888,0.716,0.615,0.776,1.183,.854,.699,,4,5,4.333333333333333,6.166666666666667,6.875,2.625,.333,0.607,0.96,0.612,.575,.692,0.48,0.501,.357,4.09
413,DET,NYY,6,8,14,9.0,1,4.4,4.8,4.428571428571429,6.0,0.709,1.067,0.863,1.193,0.552,0.5,0.524,.240,.882,4.82,6,8,4.4,4.8,4.428571428571429,6.0,.812,0.618,0.664,0.76,.619,.413,0.675,0.261,0.662,0.0
413,CUB,ATL,0,4,4,7.5,0,6.333333333333333,6.333333333333333,3.3333333333333335,2.5,0.476,0.921,1.143,0.813,0.93,0.848,0.94,.886,0.0,2.25,0,4,6.333333333333333,6.333333333333333,3.3333333333333335,2.5,0.68,0.667,1.071,0.897,0.952,0.65,0.981,0.614,0.0,5.23
413,SDG,SFO,5,1,6,8.5,0,3.125,5.375,1.8,2.8,0.867,0.748,0.598,1.035,0.484,0.614,0.494,0.902,0.5,4.11,5,1,3.125,5.375,1.8,2.8,0.625,0.733,0.878,0.599,0.803,0.853,0.568,0.598,0.0,5.25
413,TAM,PHI,1,2,3,8.0,0,2.25,2.5,2.8,6.6,0.94,0.62,0.834,1.185,0.724,0.8,0.428,0.577,0.368,5.19,1,2,2.25,2.5,2.8,6.6,.660,0.377,0.723,0.558,.934,.613,0.864,0.42,.442,14.29
413,MIA,PIT,7,2,9,8.0,1,3.5555555555555554,5.111111111111111,6.833333333333333,5.833333333333333,0.787,1.099,0.823,0.824,1.108,0.996,0.707,.600,0.0,5.06,7,2,3.5555555555555554,5.111111111111111,6.833333333333333,5.833333333333333,.788,0.768,0.682,0.591,.891,,0.329,0.359,0.0,9.35
414,CIN,STL,1,6,7,9.5,0,3.3333333333333335,6.5,5.875,4.0,0.861,0.813,1.051,0.73,0.892,0.408,0.497,.552,1.25,6.0,1,6,3.3333333333333335,6.5,5.875,4.0,.537,0.6,0.579,0.692,.449,.839,0.443,0.603,,
414,TAM,PHI,4,9,13,7.0,1,2.0,2.4,2.6666666666666665,5.666666666666667,0.921,0.609,0.803,1.107,0.693,0.795,0.863,0.634,0.414,4.5,4,9,2.0,2.4,2.6666666666666665,5.666666666666667,.819,0.665,0.367,0.596,.827,.630,0.387,0.439,,5.94
414,BOS,BAL,10,3,13,9.0,1,7.857142857142857,4.142857142857143,4.375,5.75,0.715,0.944,0.953,0.654,0.409,0.537,0.866,0.745,0.59,,10,3,7.857142857142857,4.142857142857143,4.375,5.75,1.070,0.684,0.964,0.762,.783,.579,0.286,0.348,1.417,3.12
414,HOU,TEX,5,6,11,8.5,1,4.0,2.2857142857142856,3.0,3.2,0.774,0.557,0.661,0.722,0.833,0.436,0.5,0.4,0.569,2.53,5,6,4.0,2.2857142857142856,3.0,3.2,.703,0.689,0.789,0.825,.500,1.074,0.688,0.636,1.035,0.0
414,NYM,MIL,1,5,6,8.0,0,4.666666666666667,3.0,4.714285714285714,3.857142857142857,0.774,1.048,0.611,0.769,0.657,0.579,0.628,.488,0.5,3.38,1,5,4.666666666666667,3.0,4.714285714285714,3.857142857142857,.968,1.008,0.699,0.82,.761,.962,0.599,1.0,1.333,3.6
414,CUB,ATL,14,10,24,6.5,1,4.75,5.75,3.4285714285714284,2.142857142857143,0.944,0.937,1.07,0.873,0.836,1.062,0.388,.388,0.0,4.35,14,10,4.75,5.75,3.4285714285714284,2.142857142857143,0.734,0.718,1.057,0.824,0.716,0.915,0.609,0.601,0.0,4.5
414,SEA,OAK,10,8,18,9.0,1,4.75,3.75,6.166666666666667,6.5,0.68,0.667,0.882,0.891,1.122,0.743,0.66,.544,.333,9.45,10,8,4.75,3.75,6.166666666666667,6.5,.764,0.866,1.123,1.667,.781,.993,0.67,0.4,.628,7.27
414,WAS,COL,6,2,8,7.5,1,2.5,3.75,4.222222222222222,3.888888888888889,1.004,0.668,1.032,0.788,0.6,0.69,0.224,0.527,0.0,5.63,6,2,2.5,3.75,4.222222222222222,3.888888888888889,.616,0.754,1.104,0.945,0.408,.372,0.6,0.0,0.5,0.9
414,MIA,PIT,0,1,1,7.5,0,3.9,4.8,6.142857142857143,6.0,0.729,1.009,0.825,0.762,1.018,0.848,0.911,.660,.400,1.26,0,1,3.9,4.8,6.142857142857143,6.0,.789,0.808,0.676,0.686,.823,2.5,0.361,0.499,0.0,8.64
414,LAD,ARI,1,9,10,7.5,1,4.428571428571429,3.7142857142857144,4.428571428571429,3.2857142857142856,0.952,0.723,0.76,0.884,0.808,0.918,0.364,0.364,0.0,3.27,1,9,4.428571428571429,3.7142857142857144,4.428571428571429,3.2857142857142856,0.633,0.565,1.022,0.79,0.508,0.488,0.529,0.815,0.0,2.7
414,KAN,LAA,3,5,8,7.5,1,4.285714285714286,6.0,6.666666666666667,2.7777777777777777,0.82,0.965,0.849,0.767,0.565,0.814,0.727,1.121,1.078,4.2,3,5,4.285714285714286,6.0,6.666666666666667,2.7777777777777777,.701,0.612,0.923,0.778,.598,.552,0.75,0.554,0.472,0.0
