Date,Home Team,Visit Team,Home Close OU,Total Runs,Over,Visit OPS 1,Visit OPS 2,Visit OPS 3,Visit OPS 4,Visit OPS 5,Visit OPS 6,Visit OPS 7,Visit OPS 8,Visit OPS 9,Visit ERA,Home OPS 1,Home OPS 2,Home OPS 3,Home OPS 4,Home OPS 5,Home OPS 6,Home OPS 7,Home OPS 8,Home OPS 9,Home ERA
724,LAD,SFO,9.0,10,1,1.0,0.5,0.583,1.0,0.0,0.0,0.0,0.0,1.334,2.25,0.9,0.4,0.9,0.9,0.6000000000000001,2.2,0.833,1.25,0.5,2.08
725,WAS,NYY,10.0,11,1,0.0,1.6669999999999998,0.33299999999999996,2.334,0.0,0.0,0.33299999999999996,1.167,2.0,1.8,0.0,2.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,6.75
725,BOS,BAL,10.5,9,0,0.25,1.0,1.0,0.75,0.0,0.833,1.25,1.167,0.0,12.0,0.33299999999999996,1.6669999999999998,0.2,0.5,1.4,1.75,0.2,2.05,2.0,1.5
725,STL,PIT,9.0,10,1,0.5,0.0,0.5,0.5,1.25,1.0,0.0,0.5,0.0,4.76,1.5,0.5,1.4169999999999998,1.8330000000000002,0.25,0.5,1.25,1.666,0.0,2.57
725,CLE,KAN,9.0,5,0,0.833,0.0,0.5,0.5,0.833,0.0,0.0,1.167,0.0,4.15,0.75,1.167,0.0,0.25,0.5,0.25,0.33299999999999996,1.167,0.6659999999999999,0.0
725,CWS,MIN,10.0,13,1,2.0,0.4,0.8,1.1,0.65,0.2,0.8,0.0,1.0,11.25,0.8,2.0,0.0,0.25,0.0,1.75,1.25,0.0,0.25,17.18
725,OAK,LAA,8.5,5,0,0.45,0.9329999999999999,0.4,0.0,0.65,0.2,1.933,0.4,0.833,1.93,0.2,2.8,0.8,0.4,1.85,0.6659999999999999,0.5,0.25,0.5,2.25
725,CIN,DET,9.0,10,1,0.0,0.5,0.25,1.8330000000000002,0.33299999999999996,0.0,0.0,0.0,0.6659999999999999,7.2,0.33299999999999996,1.75,0.25,1.75,2.25,0.0,0.0,0.5,1.25,1.5
725,SDG,ARI,8.0,6,0,0.5,0.0,0.5,0.0,1.0,1.75,0.0,3.0,0.0,4.76,0.9,0.5,0.833,0.5,2.0,0.5,0.5,0.0,0.833,0.0
725,HOU,SEA,9.5,9,0,0.5,0.5,1.25,1.25,0.0,1.0,0.0,0.33299999999999996,0.0,6.23,0.4,0.4,0.4,2.417,0.0,0.75,0.75,1.0,1.0,3.0
725,CUB,MIL,9.5,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.6,0.0,2.75,0.0,0.6659999999999999,0.0,0.0,1.0,0.6659999999999999,1.666,0.0
725,PHI,MIA,9.0,8,0,0.0,1.0,1.25,0.833,0.5,0.75,0.0,0.833,1.4169999999999998,1.35,0.0,0.833,0.25,0.0,2.417,0.0,0.0,0.6659999999999999,0.6659999999999999,6.75
725,NYM,ATL,9.0,8,0,0.5,0.0,0.5,0.75,0.0,0.0,0.6659999999999999,0.0,0.0,0.0,1.0,0.75,0.0,0.33299999999999996,1.666,0.6659999999999999,0.0,0.0,0.6659999999999999,0.0
725,TAM,TOR,8.5,5,0,0.4,1.4,0.4,1.167,0.5,0.0,0.917,0.833,0.833,5.79,0.2,0.2,1.4,0.6000000000000001,0.4,1.5,1.75,0.0,0.33299999999999996,13.5
725,LAD,SFO,9.5,9,0,0.6609999999999999,0.75,0.268,0.5,0.0,0.0,0.4,1.666,0.0,10.8,0.364,2.1,1.125,0.55,1.3,1.167,0.9,0.833,0.4,1.29
725,TEX,COL,8.5,5,0,1.75,0.5,0.0,0.25,0.25,0.25,0.25,0.0,0.0,1.59,0.0,0.0,0.75,0.0,1.6669999999999998,0.33299999999999996,0.0,0.0,2.167,0.0
726,SDG,ARI,8.0,7,0,0.625,0.0,0.875,0.0,0.875,1.357,0.0,0.9,0.0,7.36,1.015,0.875,1.025,0.375,0.5,1.3,1.167,0.0,0.833,1.8
726,STL,PIT,9.0,6,0,0.25,0.125,0.25,0.5,1.0,0.25,0.0,1.167,0.0,7.36,1.069,0.6659999999999999,1.431,1.357,0.536,0.5,1.0,1.262,0.28600000000000003,1.5
726,NYM,ATL,9.5,15,1,0.222,0.0,0.375,1.0,1.0,0.5720000000000001,0.8,0.33399999999999996,0.0,3.6,0.361,0.0,0.25,1.0,0.33399999999999996,0.39299999999999996,1.514,1.143,0.6609999999999999,1.5
726,WAS,NYY,10.0,5,0,0.6659999999999999,0.625,0.14300000000000002,2.547,0.28600000000000003,0.14300000000000002,0.0,0.929,0.14300000000000002,27.0,0.0,1.0,0.667,0.5,2.0669999999999997,0.6659999999999999,0.5,1.6669999999999998,1.8330000000000002,2.25
726,CWS,MIN,10.0,16,1,0.777,0.47600000000000003,1.194,0.444,0.0,0.583,0.25,1.111,0.6659999999999999,2.25,0.522,1.5,0.444,0.625,1.556,0.14300000000000002,0.875,2.25,1.786,3.38
726,OAK,LAA,9.0,10,1,0.762,0.47600000000000003,0.625,0.111,0.5,0.708,0.0,0.6659999999999999,0.625,1.35,0.34700000000000003,1.81,0.444,0.958,0.222,0.536,0.65,0.5329999999999999,0.5,7.71
726,LAD,SFO,9.0,4,0,0.75,0.5,0.916,0.5,0.125,0.872,1.0,0.0,1.071,2.25,1.624,0.25,0.498,1.25,0.967,1.1,0.92,0.928,0.762,9.0
726,TAM,TOR,8.0,11,1,0.4,1.431,0.5,0.444,1.0,0.5,0.41100000000000003,1.25,0.0,1.5,1.2670000000000001,1.0959999999999999,0.611,0.722,0.0,0.25,0.0,0.929,0.5,0.0
726,CIN,DET,9.5,5,0,0.444,0.888,0.722,1.319,0.28600000000000003,0.0,0.0,1.166,1.286,5.4,0.2,1.806,0.111,1.375,1.0,0.5329999999999999,0.125,1.089,1.3330000000000002,1.5
726,CUB,MIL,11.5,10,0,0.47600000000000003,0.555,0.222,0.875,0.25,0.708,1.0,1.0,0.858,2.7,0.0,1.3559999999999999,0.583,1.262,0.453,0.0,0.929,0.75,0.953,6.75
