Date,Home Team,Visit Team,Home Close OU,Total Runs,Over,Visit OPS 1,Visit OPS 2,Visit OPS 3,Visit OPS 4,Visit OPS 5,Visit OPS 6,Visit OPS 7,Visit OPS 8,Visit OPS 9,Visit ERA,Home OPS 1,Home OPS 2,Home OPS 3,Home OPS 4,Home OPS 5,Home OPS 6,Home OPS 7,Home OPS 8,Home OPS 9,Home ERA,Visit Runs scored,Visit Runs allowed,Visit Runs scored 1 games before,Visit Runs scored 2 games before,Visit Runs scored 3 games before,Visit Runs scored 4 games before,Visit Runs scored 5 games before,Visit Runs scored 6 games before,Visit Runs scored 7 games before,Visit Runs scored 8 games before,Visit Runs scored 9 games before,Visit Runs scored 10 games before,Home 10 game run scored average,Home Runs allowed 1 games before,Home Runs allowed 2 games before,Home Runs allowed 3 games before,Home Runs allowed 4 games before,Home Runs allowed 5 games before,Home Runs allowed 6 games before,Home Runs allowed 7 games before,Home Runs allowed 8 games before,Home Runs allowed 9 games before,Home Runs allowed 10 games before,Home 10 game run allowed average,Home Runs scored,Home Runs allowed,Home Runs scored 1 games before,Home Runs scored 2 games before,Home Runs scored 3 games before,Home Runs scored 4 games before,Home Runs scored 5 games before,Home Runs scored 6 games before,Home Runs scored 7 games before,Home Runs scored 8 games before,Home Runs scored 9 games before,Home Runs scored 10 games before,Home 10 game run scored average,Home Runs allowed 1 games before,Home Runs allowed 2 games before,Home Runs allowed 3 games before,Home Runs allowed 4 games before,Home Runs allowed 5 games before,Home Runs allowed 6 games before,Home Runs allowed 7 games before,Home Runs allowed 8 games before,Home Runs allowed 9 games before,Home Runs allowed 10 games before,Home 10 game run allowed average
408,SFO,SDG,7.0,11,1,0.5569999999999999,0.728,0.8909999999999999,1.349,0.35,0.7440000000000001,0.6839999999999999,0.655,1.5,7.04,0.7040000000000001,0.5539999999999999,0.522,0.8029999999999999,0.6859999999999999,0.25,0.506,0.408,0.0,4.0,6,5,1.0,6.0,5.0,4.0,5.0,3.0,3.0,2.0,4.0,2.0,3.5,4.0,4.0,3.0,1.0,8.0,10.0,1.0,3.0,1.0,0.0,3.5,5,6,0.0,6.0,2.0,3.0,5.0,4.0,1.0,3.0,1.0,0.0,2.5,3.0,4.0,5.0,5.0,6.0,2.0,3.0,2.0,4.0,2.0,2.5
408,LAA,MIL,9.0,7,0,0.445,1.531,0.773,0.7969999999999999,0.49,0.8979999999999999,0.542,0.336,0.0,3.27,0.405,1.581,0.395,0.376,0.743,1.155,0.5379999999999999,0.184,0.6779999999999999,6.48,2,5,4.0,8.0,13.0,1.0,4.0,4.0,5.0,4.0,5.0,5.0,5.3,2.0,14.0,10.0,0.0,3.0,3.0,4.0,2.0,9.0,4.0,5.3,5,2,7.0,5.0,3.0,4.0,1.0,3.0,1.0,2.0,6.0,0.0,3.2,2.0,1.0,1.0,11.0,2.0,6.0,2.0,4.0,2.0,4.0,3.2
409,HOU,NYY,8.0,9,1,0.66,0.9790000000000001,0.6990000000000001,1.075,1.036,0.608,1.003,1.2919999999999998,0.8300000000000001,1.47,0.8590000000000001,0.805,0.93,0.727,0.8170000000000001,0.73,0.62,0.611,0.899,4.24,3,6,3.0,15.0,6.0,8.0,1.0,1.0,3.0,5.0,3.0,7.0,5.2,4.0,3.0,4.0,4.0,2.0,3.0,1.0,7.0,5.0,2.0,5.2,6,3,4.0,9.0,6.0,3.0,0.0,4.0,2.0,1.0,1.0,2.0,3.2,3.0,8.0,0.0,2.0,4.0,6.0,1.0,3.0,3.0,4.0,3.2
409,LAA,MIL,8.5,19,1,0.8959999999999999,1.34,0.8059999999999999,0.583,0.399,0.7929999999999999,0.792,0.866,0.748,4.24,0.605,1.507,0.532,0.46799999999999997,0.7,1.092,0.5479999999999999,0.565,0.613,3.5,8,11,2.0,4.0,8.0,13.0,1.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,14.0,10.0,0.0,3.0,3.0,4.0,2.0,9.0,5.0,11,8,5.0,7.0,5.0,3.0,4.0,1.0,3.0,1.0,2.0,6.0,3.7,2.0,2.0,1.0,1.0,11.0,2.0,6.0,2.0,4.0,2.0,3.7
409,SFO,SDG,7.5,9,1,0.0,0.929,0.8059999999999999,1.148,0.6920000000000001,0.867,0.631,0.7030000000000001,0.0,4.76,0.628,1.167,0.81,0.591,0.667,0.47,0.6940000000000001,0.45,1.166,3.32,2,7,6.0,1.0,6.0,5.0,4.0,5.0,3.0,3.0,2.0,4.0,3.9,5.0,4.0,4.0,3.0,1.0,8.0,10.0,1.0,3.0,1.0,3.9,7,2,5.0,0.0,6.0,2.0,3.0,5.0,4.0,1.0,3.0,1.0,3.0,6.0,3.0,4.0,5.0,5.0,6.0,2.0,3.0,2.0,4.0,3.0
409,STL,LAD,8.5,4,0,0.967,0.75,1.4680000000000002,0.733,0.944,1.2,1.2029999999999998,1.1,0.2,3.07,0.736,0.943,0.35,0.679,0.8590000000000001,0.458,0.836,1.235,0.4,1.13,0,4,3.0,12.0,7.0,10.0,5.0,6.0,2.0,8.0,18.0,4.0,7.5,4.0,6.0,2.0,6.0,3.0,5.0,4.0,7.0,5.0,5.0,7.5,4,0,4.0,4.0,4.0,3.0,5.0,6.0,4.0,2.0,9.0,4.0,4.5,3.0,1.0,6.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.5
409,ARI,TEX,8.5,9,1,0.8220000000000001,0.449,0.8440000000000001,0.877,1.161,0.742,0.841,0.7959999999999999,0.52,9.53,0.883,0.439,1.065,1.105,1.013,0.8310000000000001,0.762,0.763,0.25,2.57,4,5,2.0,1.0,1.0,11.0,4.0,6.0,1.0,11.0,8.0,4.0,4.9,7.0,5.0,3.0,4.0,0.0,4.0,2.0,10.0,6.0,12.0,4.9,5,4,0.0,5.0,15.0,1.0,8.0,10.0,7.0,5.0,5.0,5.0,6.1,1.0,4.0,8.0,4.0,5.0,3.0,8.0,18.0,4.0,12.0,6.1
409,COL,ATL,10.5,8,0,0.897,0.5529999999999999,1.105,0.79,0.795,1.169,0.7070000000000001,0.14300000000000002,0.0,6.0,0.726,0.5379999999999999,0.6910000000000001,0.871,0.7010000000000001,0.6659999999999999,0.481,0.151,0.5,5.4,7,1,8.0,4.0,2.0,4.0,9.0,6.0,8.0,1.0,6.0,4.0,5.2,6.0,3.0,4.0,0.0,4.0,4.0,0.0,5.0,8.0,10.0,5.2,1,7,6.0,6.0,2.0,6.0,1.0,0.0,1.0,0.0,3.0,6.0,3.1,8.0,12.0,7.0,10.0,0.0,4.0,7.0,3.0,7.0,1.0,3.1
409,BAL,OAK,9.5,15,1,0.6599999999999999,0.889,0.746,0.8270000000000001,0.531,0.8280000000000001,0.35,0.97,0.942,4.87,0.992,0.7330000000000001,1.253,0.778,0.924,0.125,0.606,0.526,0.609,5.28,13,2,4.0,8.0,0.0,2.0,7.0,3.0,1.0,7.0,2.0,4.0,3.8,12.0,9.0,6.0,3.0,3.0,6.0,0.0,0.0,1.0,2.0,3.8,2,13,12.0,3.0,4.0,4.0,3.0,2.0,6.0,7.0,5.0,2.0,4.8,4.0,15.0,6.0,8.0,5.0,1.0,5.0,5.0,3.0,7.0,4.8
409,BOS,TOR,8.0,12,1,0.091,1.025,0.73,0.7949999999999999,0.5880000000000001,0.5349999999999999,0.34700000000000003,1.032,0.379,2.41,0.5379999999999999,0.754,1.014,0.5489999999999999,0.69,0.601,0.8,0.902,0.8740000000000001,7.84,7,5,1.0,2.0,2.0,1.0,5.0,1.0,5.0,3.0,3.0,6.0,2.9,3.0,7.0,3.0,4.0,3.0,2.0,6.0,4.0,0.0,0.0,2.9,5,7,1.0,4.0,8.0,3.0,6.0,0.0,0.0,8.0,5.0,7.0,4.2,0.0,5.0,15.0,7.0,3.0,1.0,7.0,10.0,6.0,6.0,4.2
