Date,Home OPS 1,Home OPS 2,Home OPS 3,Home OPS 4,Home OPS 5,Home OPS 6,Home OPS 7,Home OPS 8,Home OPS 9,Home Pitcher ERA,Visit OPS 1,Visit OPS 2,Visit OPS 3,Visit OPS 4,Visit OPS 5,Visit OPS 6,Visit OPS 7,Visit OPS 8,Visit OPS 9,Visit Pitcher ERA,Visit Team,Home Team
0807,0.616,0.716,0.807,1.25,0.755,0.545,0.696,0.979,0.67,7.2,0.888,0.692,0.986,0.996,0.726,0.802,1.112,0.334,0.38,5.63,BAL,WSH
0807,0.75,0.98,0.625,0.606,0.951,0.593,0.808,0.465,0.392,5.4,1.037,1.199,0.758,1.001,0.912,0.406,1.053,0.402,0.85,3.38,NYY,TB
0807,0.581,0.501,0.589,0.892,0.584,0.839,0.465,0.407,0.609,1.8,0.545,0.756,0.65,0.782,0.646,0.364,0.625,0.759,1.212,7.2,DET,PIT
0807,0.393,0.621,0.72,0.959,1.048,0.966,0.678,0.685,0.591,11.57,0.544,0.697,0.799,0.588,0.588,0.568,0.775,1.001,0.64,1.8,TOR,BOS
0807,0.906,0.857,0.771,0.73,0.668,0.602,0.763,0.481,0.733,4.15,0.886,0.706,0.642,0.833,0.649,0.732,0.54,0.572,0.548,11.57,MIN,KC
0807,0.886,0.893,0.734,0.848,0.961,0.941,0.649,0.167,0.888,6.48,0.812,1.015,0.724,0.624,0.485,0.735,0.307,0.304,0.833,3.75,CLE,CHW
0807,.375,0.751,0.561,0.333,0.429,0.775,0.631,0.75,0.735,0.0,0.795,1.212,0.45,0.311,0.954,0.455,0.552,0.289,0.343,0.68,CIN,MIL
0807,0.827,0.565,0.542,0.925,,0.542,0.861,0.405,1.75,6.0,0.939,1.033,0.719,0.662,.744,0.594,0.768,0.443,0.925,3.38,LAA,TEX
0807,0.439,0.945,0.858,0.627,0.829,0.587,0.624,0.626,0.723,0.93,0.624,0.692,0.818,1.047,0.798,1.084,0.748,0.333,0.622,5.0,HOU,OAK
0807,1.047,0.99,0.662,0.677,1.075,1.109,0.347,0.351,0.407,4.5,0.844,0.755,0.941,0.807,0.502,0.735,0.795,0.302,0.386,14.73,ARI,SD
0807,0.909,0.88,0.516,0.695,1.008,0.725,0.768,1.141,0.708,2.45,0.633,1.105,1.153,0.762,0.783,0.836,0.714,0.93,0.714,9.31,SF,LAD
0807,0.632,0.989,1.016,0.899,.849,.573,0.732,0.374,0.323,4.66,0.741,1.04,0.974,0.716,0.976,0.937,0.743,0.804,,2.45,COL,SEA
0808,0.865,0.792,0.686,0.647,0.639,0.884,0.882,0.739,0.974,0.0,0.799,0.946,0.677,0.66,0.55,0.583,0.091,0.077,0.875,1.8,CLE,CHW
0808,0.628,0.55,0.805,0.578,0.674,0.86,0.741,0.539,0.366,3.12,1.025,1.099,0.45,0.939,0.368,0.871,1.015,0.401,0.91,2.55,NYY,TB
0808,0.543,0.478,0.622,0.429,0.659,0.966,0.929,.212,0.531,4.76,0.634,0.681,0.651,0.872,0.501,0.6,0.681,0.125,1.19,4.22,DET,PIT
0808,0.453,0.972,0.648,0.726,0.786,0.589,0.573,0.69,,2.25,0.635,0.656,0.786,0.938,0.712,1.048,0.752,0.353,1.167,2.53,HOU,OAK
0808,0.39,0.569,1.014,1.093,0.888,0.432,0.993,0.269,1.231,5.4,0.737,0.815,0.77,0.935,1.013,1.0,1.172,0.577,0.182,7.5,ATL,PHI
0808,0.554,0.661,0.878,0.625,0.773,0.648,0.786,0.532,0.669,3.6,0.916,0.721,1.124,0.936,1.069,1.444,0.78,0.45,0.465,2.7,BAL,WSH
0808,0.872,0.798,0.753,0.688,0.674,0.594,0.775,0.517,0.899,4.11,0.508,0.846,1.007,0.612,0.764,0.84,0.529,0.676,0.488,,MIN,KC
0808,0.497,0.876,0.886,0.912,0.469,0.599,,0.393,0.774,2.25,0.918,1.077,0.625,0.636,0.643,0.545,0.5,1.226,0.476,2.25,LAA,TEX
0808,0.738,0.686,0.63,0.599,0.75,0.742,0.544,.542,0.703,6.0,0.283,1.251,0.857,0.489,0.695,0.769,0.629,0.742,0.541,0.0,CIN,MIL
0808,0.622,0.776,0.835,0.626,0.881,0.579,0.89,0.347,0.0,3.86,0.701,0.477,0.979,0.635,0.964,0.837,0.143,0.455,0.2,,MIA,NYM
0808,0.927,0.586,0.664,1.023,1.153,0.877,0.37,0.647,0.674,6.14,0.665,0.703,0.69,1.024,0.714,0.664,0.607,0.594,0.55,,TOR,BOS
0808,0.85,0.983,0.528,0.727,0.765,1.024,0.745,0.624,0.282,0.0,0.768,1.098,1.081,0.665,0.88,0.2,0.733,0.941,0.668,4.97,SF,LAD
0808,1.063,0.946,0.627,0.641,1.583,1.039,1.225,0.2,0.749,2.65,0.785,0.693,0.903,0.758,0.501,0.694,0.262,0.404,0.404,2.63,ARI,SD
0808,0.79,0.6,0.98,0.924,.500,0.412,0.706,0.4,0.258,5.4,0.889,0.94,1.081,0.673,1.022,0.965,0.598,0.677,0.236,,COL,SEA
0809,0.536,0.6,0.827,1.144,0.794,0.667,0.883,0.091,0.721,,0.888,0.759,1.027,0.867,0.726,0.46,1.264,0.808,0.0,5.4,BAL,WSH
0809,1.0,0.531,1.052,0.902,0.53,1.191,0.375,0.67,1.0,12.0,0.71,0.76,0.713,0.867,0.875,0.641,0.429,0.983,0.566,,ATL,PHI
0809,0.745,0.781,0.69,0.934,0.921,0.872,0.612,0.667,0.764,2.12,0.608,0.434,0.703,0.949,0.967,0.533,1.0,0.0,0.452,0.0,MIA,NYM
0809,0.63,0.647,0.823,0.688,.750,0.881,0.323,0.74,0.439,5.52,0.929,1.138,0.739,0.852,0.42,0.635,1.059,0.42,0.794,13.5,NYY,TB
0809,0.883,0.543,0.639,1.045,1.123,0.845,0.361,0.586,0.444,3.94,0.627,0.773,0.681,0.957,0.727,0.691,0.663,0.561,0.583,5.91,TOR,BOS
0809,0.498,0.613,0.579,0.811,0.634,0.5,0.813,.345,0.45,7.2,0.73,0.739,0.812,1.005,0.7,0.726,0.638,0.739,1.168,2.45,DET,PIT
0809,0.858,0.898,0.846,,0.651,0.573,0.782,0.669,0.25,4.8,0.897,0.714,1.007,0.732,0.935,0.553,0.582,0.817,0.8,4.8,MIN,KC
0809,0.713,0.658,0.576,0.492,0.689,0.417,.600,0.727,0.701,2.08,,1.171,0.794,0.57,0.628,0.414,0.438,0.719,0.111,0.96,CIN,MIL
0809,0.816,0.838,0.936,0.965,0.557,0.426,0.459,0.627,1.222,0.49,0.932,.778,1.027,0.57,0.595,0.84,0.364,0.738,0.429,2.35,LAA,TEX
0809,0.8,0.911,0.514,0.787,0.717,0.929,0.651,0.864,0.669,5.19,1.128,0.848,1.127,0.697,0.701,0.475,0.439,0.98,0.582,5.27,SF,LAD
0809,0.53,0.938,0.731,0.72,0.772,0.769,0.715,0.816,0.61,2.31,0.616,0.709,0.768,0.859,0.749,1.026,0.644,0.3,0.617,1.42,HOU,OAK
0809,1.191,0.636,0.653,0.55,0.959,0.915,0.416,0.299,0.807,1.72,0.767,0.666,0.996,0.741,0.739,1.171,0.167,0.48,0.38,7.04,ARI,SD
0809,0.77,0.86,0.941,0.902,.489,0.39,0.653,0.392,0.205,9.39,0.822,0.927,1.154,0.895,0.578,1.25,0.684,0.811,0.671,1.89,COL,SEA
0809,0.332,0.531,1.052,1.178,0.53,0.902,2.092,0.233,0.67,,0.71,0.76,0.713,0.867,0.966,0.875,1.021,0.529,0.641,2.04,ATL,PHI
0809,0.852,0.878,0.661,0.674,0.728,0.771,0.876,0.919,0.629,5.17,0.755,0.903,0.701,0.663,0.638,0.746,0.311,0.259,0.772,0.83,CLE,CHW
0810,1.639,0.67,,1.03,0.747,0.467,1.042,0.273,0.618,3.97,,0.771,0.934,0.891,1.008,0.747,0.982,0.525,0.55,6.57,ATL,PHI
0810,0.671,0.71,,0.914,0.661,0.724,0.633,0.802,1.139,,0.777,0.879,0.67,0.708,,0.736,1.127,0.588,0.977,2.55,CHW,DET
0810,0.802,0.802,0.596,0.993,0.749,1.0,0.622,0.605,0.0,9.0,,0.939,0.621,0.706,0.816,0.542,0.318,0.52,0.398,3.78,TB,BOS
0810,0.686,0.764,0.754,0.525,0.608,0.763,,0.557,0.633,0.75,0.912,0.667,1.007,0.715,0.855,0.576,0.426,0.779,0.806,0.6,MIN,MIL
0810,0.825,0.898,1.187,0.614,1.018,0.852,0.606,0.711,0.492,3.31,0.735,0.731,0.958,0.712,0.687,0.488,0.841,0.272,0.469,9.45,ARI,COL
0810,0.609,0.729,0.743,0.879,0.854,0.956,0.597,0.568,0.261,9.22,1.113,0.783,1.111,0.598,0.828,0.398,0.983,0.798,0.603,2.13,SF,HOU
0810,0.782,0.642,,0.887,0.901,0.434,0.83,0.516,0.355,2.45,0.753,0.935,0.936,0.868,.983,0.562,0.368,.438,0.654,6.43,SEA,TEX
0810,0.908,.839,0.958,0.569,0.666,0.674,0.431,1.096,0.267,6.75,0.539,0.924,0.77,0.798,0.753,0.937,0.648,0.598,0.572,8.03,OAK,LAA
0810,0.727,0.935,0.513,0.769,0.714,0.711,0.569,1.169,0.825,2.63,1.226,0.903,0.757,0.621,1.152,1.017,1.201,0.182,0.488,5.4,SD,LAD
0811,0.699,0.815,0.554,0.941,0.751,0.676,0.582,0.377,0.519,5.14,0.537,0.501,1.036,0.661,0.956,0.712,0.111,0.872,0.347,0.0,MIA,TOR
0811,0.781,1.103,0.731,0.586,0.708,0.808,0.666,0.433,0.499,4.76,0.859,0.925,0.855,0.5,0.759,0.632,0.81,0.532,0.716,3.6,KC,CIN
0811,0.943,1.045,0.756,0.854,0.467,0.571,0.976,0.427,0.789,5.59,0.748,1.14,0.905,0.845,0.865,0.614,0.639,1.115,0.546,6.08,ATL,NYY
0811,0.373,0.685,1.071,1.081,0.8,0.615,0.862,0.298,0.889,2.08,0.897,0.741,0.956,0.771,1.014,0.739,0.463,0.395,0.744,2.51,BAL,PHI
0811,0.804,0.867,0.671,0.701,0.646,0.328,0.678,0.251,0.958,2.57,0.638,0.871,0.738,0.74,0.963,1.031,0.501,0.728,1.382,0.82,CHC,CLE
0811,0.828,0.72,0.78,0.661,0.771,0.523,0.452,0.734,1.177,1.17,0.922,0.857,0.644,0.697,0.55,0.695,0.81,0.755,0.867,7.71,CHW,DET
0811,0.8,0.805,0.929,0.917,0.858,0.609,0.712,0.286,0.0,6.92,0.69,0.628,0.778,1.444,0.727,1.1,0.619,0.558,0.604,3.29,WSH,NYM
0811,0.36,0.79,0.713,0.958,1.299,0.808,0.725,0.567,0.462,3.45,1.048,0.599,0.813,0.83,0.629,0.73,0.704,0.566,0.448,2.35,TB,BOS
0811,0.599,0.833,0.734,0.786,0.593,0.874,0.705,0.5,0.688,4.15,0.872,0.657,0.969,0.753,0.787,0.438,0.57,0.504,0.699,1.17,MIN,MIL
0811,0.757,0.954,1.217,0.717,0.996,0.633,0.559,0.292,0.451,2.41,1.42,0.796,0.895,0.804,0.713,0.481,0.458,0.125,0.553,2.81,ARI,COL
0811,0.769,0.76,0.899,0.848,0.658,,0.44,0.482,1.056,6.89,0.765,1.077,1.007,0.91,.911,0.603,0.37,0.419,0.677,3.06,SEA,TEX
0811,0.594,0.749,0.764,0.871,0.87,0.95,0.557,0.647,0.222,0.87,1.071,0.757,0.524,0.615,0.772,1.117,0.407,0.716,0.555,2.19,SF,HOU
