Home AVG 1,Home AVG 2,Home AVG 3,Home AVG 4,Home AVG 5,Home AVG 6,Home AVG 7,Home AVG 8,Home AVG 9,Home ERA,Visit AVG 1,Visit AVG 2,Visit AVG 3,Visit AVG 4,Visit AVG 5,Visit AVG 6,Visit AVG 7,Visit AVG 8,Visit AVG 9,Visit ERA,Date,Visit Team,Home Team
0.0,0.4,0.25,0.25,0.5,0.0,0.25,0.5,0.0,15.0,0.25,0.0,0.25,0.0,0.2,0.0,0.25,1.0,0.0,4.5,0320,SEA,OAK
0.243,0.282,0.1,0.419,0.143,0.176,0.214,0.079,0.0,3.31,0.387,0.303,0.286,0.333,0.255,0.256,0.345,0.2,0.211,1.8,0320,DET,PHI
0.2,0.263,0.175,0.18,0.237,0.226,0.136,0.255,0.0,8.8,0.16,0.4,0.206,0.179,0.4,0.486,0.289,0.19,0.0,0.9,0320,MIA,STL
0.257,0.278,0.421,0.313,0.324,0.364,0.308,0.345,0.29,2.12,0.282,0.349,0.316,0.333,0.25,0.14,0.318,0.32,0.133,0.87,0320,NYY,HOU
0.273,0.29,0.176,0.361,0.361,0.1,0.306,0.286,0.438,3.52,0.293,0.351,0.25,0.167,0.222,0.275,0.182,0.308,0.0,5.0,0320,PIT,MIN
0.341,0.278,0.41,0.243,0.323,0.238,0.25,0.265,0.189,5.0,0.286,0.256,0.35,0.364,0.154,0.375,0.4,0.237,0.0,5.29,0320,ATL,TOR
0.143,0.258,0.273,0.292,0.217,0.2,0.333,0.237,0.154,9.0,0.438,0.396,0.268,0.381,0.231,0.163,0.186,0.304,0.0,0.0,0320,ARI,CHW
0.233,0.353,0.464,0.25,0.364,0.333,0.356,0.208,0.333,1.93,0.132,0.4,0.364,0.167,0.35,0.385,0.275,0.25,0.0,2.29,0320,CIN,TEX
0.367,0.306,0.2,0.35,0.211,0.167,0.225,0.267,0.0,2.65,0.25,0.25,0.343,0.233,0.268,0.294,0.244,0.25,0.0,1.84,0320,MIL,SD
0.182,0.235,0.2,0.167,0.222,0.275,0.25,0.244,0.323,7.94,0.25,0.269,0.39,0.174,0.207,0.281,0.129,0.243,0.235,3.38,0320,BOS,BAL
