Home OPS 1,Home OPS 2,Home OPS 3,Home OPS 4,Home OPS 5,Home OPS 6,Home OPS 7,Home OPS 8,Home OPS 9,Home ERA,Visit OPS 1,Visit OPS 2,Visit OPS 3,Visit OPS 4,Visit OPS 5,Visit OPS 6,Visit OPS 7,Visit OPS 8,Visit OPS 9,Visit ERA,Date,Visit Team,Home Team
0.4,1.8,1.65,0.8,0.25,2.25,0.75,0.5,0.5,2.57,0.5,0.0,0.2,0.0,0.25,1.5,1.5,0.75,0.0,23.63,0402,NYY,TB
1.7999999999999998,0.8,1.0,0.0,0.0,0.5,0.0,2.25,0.0,3.6,0.8,0.4,0.65,0.2,1.0,1.75,0.0,1.25,5.0,3.86,0402,SF,ARI
0.65,1.0,0.45,0.5,1.467,0.933,0.0,1.85,0.0,0.0,1.75,0.0,0.5,0.25,0.5,0.5,1.75,0.0,0.5,1.8,0402,CHC,STL
0.2,1.2,0.2,0.583,0.25,0.75,1.167,0.666,1.0,0.0,0.0,0.5,2.0,0.75,0.0,0.5,0.0,0.666,0.0,0.0,0403,ATL,NYM
----,----,----,----,----,----,----,----,----,--,----,----,----,----,----,----,----,----,----,--,0403,ATL,NYM
0.75,1.75,1.833,1.0,1.0,0.0,0.0,0.666,0.0,2.57,0.0,1.25,0.0,0.75,0.0,0.5,0.0,0.0,2.0,0.0,0403,MIA,WSH
0.5,1.25,0.833,0.5,0.0,1.0,1.5,0.5,1.334,4.26,0.933,0.0,0.0,0.5,1.0,1.167,0.75,0.5,0.5,9.0,0403,PIT,BOS
0.9,0.9,0.2,1.5,0.5,0.25,0.5,0.833,0.0,6.0,0.0,0.0,0.0,1.417,0.75,1.0,2.75,1.0,0.0,11.25,0403,COL,MIL
----,----,----,----,----,----,----,----,----,--,----,----,----,----,----,----,----,----,----,--,0403,COL,MIL
0.75,0.9,0.65,0.4,1.6,1.25,0.0,0.0,0.0,3.38,0.666,1.267,0.167,0.2,0.0,0.4,1.2,0.65,1.667,3.00,0403,TOR,BAL
0.8,1.4,1.6,1.75,0.933,1.583,2.0,1.267,1.167,1.29,0.75,0.0,0.5,0.0,1.75,0.0,0.0,0.0,0.666,24.3,0403,SD,LAD
0.65,0.4,0.0,0.25,1.833,1.417,1.417,0.5,0.666,1.29,0.5,1.25,0.5,0.0,0.666,0.0,0.0,0.0,0.0,1.5,0403,KC,MIN
0.95,1.0,0.0,1.25,0.25,0.833,0.5,0.833,0.0,5.79,1.0,1.4,1.267,0.65,1.167,0.0,0.0,2.0,1.333,1.8,0403,PHI,CIN
1.4,0.5,1.25,0.25,2.5,0.0,0.25,1.75,0.0,5.68,1.6,0.2,0.4,1.4,1.833,0.0,0.5,0.75,1.25,7.5,0403,CLE,TEX
1.666,0.833,0.5,2.333,0.0,0.666,0.0,0.0,0.666,0.0,1.0,0.25,0.5,0.25,0.5,0.25,0.0,0.0,0.0,3.6,0403,SEA,HOU
----,----,----,----,----,----,----,----,----,--,----,----,----,----,----,----,----,----,----,--,0403,SEA,HOU
0.0,0.25,0.0,3.0,1.75,1.0,0.833,0.833,0.5,3.0,1.0,0.833,2.0,0.25,0.833,0.0,0.833,0.0,0.0,4.76,0403,LAA,OAK
1.1,0.0,1.5,1.25,0.0,0.25,1.0,0.25,0.0,10.13,2.8,1.4,0.4,0.5,0.666,0.25,0.25,1.25,0.0,2.84,0404,DET,CHW
0.661,1.127,1.556,0.0,0.715,0.444,0.25,0.0,0.5,6.0,0.708,0.0,0.55,0.536,0.804,0.75,1.625,0.625,0.8340000000000001,0.0,0404,NYY,TB
0.472,0.25,0.958,0.9,1.5,1.334,0.858,0.45299999999999996,0.0,12.46,0.444,0.222,0.472,1.127,1.056,1.223,1.953,0.661,0.666,7.94,0404,COL,MIL
0.722,0.5,1.25,0.708,1.5,0.0,1.089,1.262,0.0,4.5,1.725,0.222,0.666,0.958,1.042,1.334,0.375,0.125,1.0,3.18,0404,CLE,TEX
1.262,0.393,0.572,1.333,0.0,0.666,0.333,0.8340000000000001,1.666,1.5,0.444,0.472,0.804,0.125,0.7,0.661,0.0,0.286,0.42899999999999994,3.0,0404,SEA,HOU
